search.term	name
Himself	James Orin Incandenza 
Mad Stork	James Orin Incandenza 
Sad Stork	James Orin Incandenza 
Moms	Avril Mondragon Tavis Incandenza
Avril	Avril Mondragon Tavis Incandenza
Hal	Harold Hal James Incandenza
Orin 	 Orin James Incandenza
Mario	Mario Incandenza 
CT	Dr. Charles CT Tavis 
Schtitt	Gerhardt Schtitt 
Aubrey	Aubrey F. deLint 
Tex	Tex Watson
Mary	Mary Esther Thode
Tony Nwangi	Tony Nwangi
Lyle 	Lyle 
Donnie Stott 	Donnie Stott 
Mrs. Clarke 	Mrs. Clarke 
Brandt 	Brandt 
Kenkle 	Kenkle 
"Dave """"Fall Down Very"""" Harde"	"Dave """"Fall Down Very"""" Harde"
Disney R. Leith 	Disney R. Leith 
Soma R.	Soma R.
Dr. Dolores Rusk 	Dr. Dolores Rusk 
Lateral Alice Moore 	Lateral Alice Moore 
Pemulis 	Michael Mathew Pemulis 
face is the sort of you see all over Irish Allston and Brighton	face is the sort of you see all over Irish Allston and Brighton
Troeltsh	Jim Troeltsch 
Schacht	Ted Schacht 
Struck	James Albrecht Lockley Struck Jr. 
Ortho 	Ortho Stice
The Darkness	Ortho Stice
John Wayne	"John ""No Relation"" Wayne "
Possalthwaite	"Todd ""Postal Weight"" Possalthwaite "
Axford	"Trevor ""Axhandle"" Axford "
Coyle	Kyle D. Coyle
Shaw	Tall Paul Shaw
Freer	Keith Freer
Rader	"Graham ""Yardguard"" Rader"
Kahn	Petropolis Kahn
Dymphna 	Dymphna 
Beak	Peter Beak 
Ingersoll	Evan Ingersoll
Blott	Kent Blott 
Zoltan	Zoltan Csikzentmihalyi 
Idris Arslanian 	Idris Arslanian 
Whale	"Carl ""Mobes"" Whale "
Chu	LaMont Chu 
Peterson	Sleepy TP Peterson 
McKenna	Kieran McKenna 
Vleck	Brian Van Vleck 
Otis P. Lord 	Otis P. Lord 
Audern Tallat-Kelpsa	Audern Tallat-Kelpsa
Traub	Philip Traub 
Gopnick	Josh Gopnick 
U.S.S. Millicent Kent 	U.S.S. Millicent Kent 
Bridget Boone	Bridget C. Boone 
Unwin	Frannie Unwin 
Longley	Bernadette Longley 
Montesian	"Patricia Montesian, M.A., C.S.A.C. "
Gately	Donald W. Gately 
Ewell	Tiny Ewell 
Bruce Green 	Bruce Green 
Gene 	Gene 
Diehl 	Diehl 
Nell 	Nell 
Minty 	Minty 
McDade 	McDade 
Alfonso 	Alfonso 
Clenette 	Clenette 
Thrale 	Thrale 
Guy Who Didn't Even Use His First Name 	Guy Who Didn't Even Use His First Name 
Madame Psychosis 	Joelle van Dyne
Joelle 	Joelle van Dyne
P.G.O.A.T	Joelle van Dyne
Cosgrove Watt	Watt
"Trent ""Quo Vadis"" Kite "	Kite
Erdedy 	Eredy
Tommy Doocey 	Tommy Doocey
Glyn	Dwayne R. Glynn 
Wardine	Wardine 
Roy Tony 	Roy Tony 
Gompert	Katherine Ann Gompert 
Sorkin	Whity Sorkin 
yrs truly	yrs truly 
C	C 
Poor Tony 	Poor Tony 
Vinoy 	Kely Vinoy
Eckwus	Eckwus
Darkstar	Stokely Darkstar
Purpleboy	Purpleboy
Lolasister	Lolasister
Susan T. Cheese	Susan T. Cheese
Delphina	Delphina
Dr. Wo	Dr. Wo
Marathe	Remy Marathe
Steeple	M. Hugh Steeply 
M. Fortier 	M. Fortier 
M. Broullîme	M. Broullîme
"Rodney ""Rod the God"" Tine, Sr. "	"Rodney ""Rod the God"" Tine, Sr. "
Mile. Luria Perec 	Mile. Luria Perec 
Guillaume DuPlesses 	Guillaume DuPlesses 
Medical attache	"Medical attache to Prince Q_____, Saudi Minister of Home Entertainment"
US President J. Gentle (F.C.)	US President J. Gentle (F.C.)
Separatist/Anti	Separatist/Anti
Les Assassins des Fauteuils Rollents	Les Assassins des Fauteuils Rollents
Le Bloc Qu_becois	Le Bloc Qu_becois
Calgarian Pro	Calgarian Pro
Les Fils de Montcalm	Les Fils de Montcalm
Les Fils de Papineau	Les Fils de Papineau
Le Front de la Liberation de la Quebec	Le Front de la Liberation de la Quebec
Le Parti Qu_becois	Le Parti Qu_becois
Ross Reat	Ross Reat
Bain	M. Bain
Walt Flechette	Walt Flechette
