#outline scraped from website
Ch.,Scene,Page #,Year,Synopsis
1,1,10-Mar,YEAR OF GLAD,"Hal narrates, Interview with University of Arizona Deans. Questions regarding Hal's rather stellar record."
,2,11-Oct,(unspecified),Hal narrates. Eating the mold.
,3,13-Nov,YGÊ,Hal attempts to explain his record to the deans. Is there something wrong with his voice?
,4,13-15,YG,Hal restrained in a U of AZ men's room
,5,15-17,YG,Hal is taken away in an ambulance
2,6,17-26,YEAR OF THE DEPEND ADULT UNDER-GARMENT,"Steve Erdedy, preparing for a marijuana binge, waits for a woman to deliver the goods."
3,7,27-31,YEAR OF THE TUCKS MEDICATED PAD,"4/1: 12-year-old Hal goes to see a ""conversation"" doctor; it turns out to be his father in disguise.Ê"
4,8,32-33,YDAUÊ,"5/9: Hal gets phone call from Orin, Mario wakes up"
5,9,33-37,YDAU,"4/1: The medical attach_ comes home to relax and watch some ""Entertainment"""
,10,37-38,YEAR OF THE TRIAL-SIZED DOVE BAR,"Clenette narrates, tells a tale about her friend Wardine's abusive family"
,11,38-39,(unspecified),The tale of Bruce Green and Mildred Bonk
6,12,Ê39-42,YDAU,Hal and Mario in their room at night. They discuss Himself's funeral.
,13,42,YDAU,Ê4/1: medical attach_ is still watching...
,14,42- 49,YDAUÊ,"10/?: Orin wakes up in AZ, wishes last night's ""Subject"" would leave."
7,15,49-54,YDAU,17 yr. old Hal getting high in the basement of Enfield Tennis Academy
,16,55- 60,YEAR OF DAIRY PRODUCTS FROM THE AMERICAN HEARTLAND,Autumn: Don Gately's criminal career comes to an end after accidentally murdering a Canadian VIP during a robbery. This VIP has ties to various anti-O.N.A.N. groupsÊ
,17,60,YDAU,Description of a state-of-the-art teleputer
,18,60-61,YDAU,11/3: Troelsch sick in bed at ETA
,19Ê,60-63,(unspecified),1st(/2ndÊ?) person: description of 12 yr old's nightmare at E. T. A.Ê
8Ê,20,63-64,(as of) YDAU,"Brief description and history of ETA and its founder, James O. Incandenza"
,21,65-66,YDAU,11/1: Orin at football practice
9,22,66-67,YDAU,"Michael Pemulis, as ""Big Buddy,"" talks about drugs to his younger charges"
,23,67-68,YDAU,"1stÊperson: Hal, after a bong hit, relates a tennis dream"
10,24,68-78,YDAU,"Kate Gompert explains the extent of her addiction to marijuana (""Bob Hope"") to a young doctorÊ"
,25,78-79,YDAU,4/2: the medical attach_'s wife returns home...
,26,79-85,YDAU,Gerhardt Schtitt and Mario talk game theory
,27,85-87,YDAU,Tiny Ewell and an unnamed passenger are transported to the Enfiled Marine VA hospital
11Ê,28,87,YDAU,4/2: the list of people who have come to the medical attach_'s house to look for him...
,29,87-92,YDAU,"4/30: Tuscon, AZ Maranthe and special agent Hugh Steeply (in drag) meet on a hillside to discuss the appearance, earlier that month, of a special form of Entertainment"
,30,93,(unspecified),Description of a herd of feral hamsters in the Great Concavity
,31,93-95,YDAU,4/30: Maranthe and Steeply continued
,32,95-97,YDAU,"11/3: locker room banter at ETA. Troelsch, Pemulis, Wayne, Stice, Struck, Freer and Hal are present"
,33,97,YDAU,4/30: Maranthe and Steeply continued. Sunset.
,34,97-105,YDAU,More banter in the locker room. Complaints about Schtitt's expectations of themÊ
,35,105-108,YDAU,4/30: Maranthe and Steeply continued. Talk of love...
,36,109-121,YDAU,"11/3: Hal with his ""little buddies"" (Kent Blott, Idris Arslanian, Ingersol). He convinces them that their resentment of Schtitt is engineered by Schtitt and his staff. Switches to John (NR) Wayne, Troelsch, Struck, and Stice, each with his group of younger students.Ê"
,37,121-126,YDAU,"Mid-Oct.: ""Mario Incandenza's First and Only Even Remotely Romantic Experience, Thus Far."" It is indeed only remote, with the ""USS"" Millicent Kent"
,38,126-127,YDAUÊ,4/30: Maranthe and Steeply continued.
,39,127,YDAU,4/30: Maranthe and Steeply continued. (One line.)
12,40,127-128,YDAU,"First description of the ETA's oiled guru, Lyle"
,41,128-135,(unspecified)Ê,"""yrstruly"" narrates a gruesome story involving C, Poor Tony, and the despicable Dr. Wo in Chinatown. C od's"
13,42,135-137,YDAU,11/3: Hal receives a phone call from Orin O. asks him about Canadian Separatism.
,43,137-138,(unspecified)Ê,Introduction to the Ennet House Drug and Alcohol Recovery House (sic)
,44,138-140,YEAR OF DAIRY PRODUCTS FROM THE AMERICAN HEARTLAND,Excerpt from a letter to State Farm detailing a bricklayer's bizarre accident. This is perhaps Wallace's most obvious example of borrowing from urban myths.Ê
,45,140-142,YEAR OF THE PERDUE WONDER-Ê,"Hal's seventh-grade essay comparing ""Hawaii-Five-O""'s Steve McGarrett with ""Hill Street Blues""'s Frank Furillo. The latter is a post-modern, more complicated, and perhaps too mild hero."
,,,CHICKEN,
,46,142-144,YDAU,"8/10: ""Helen"" Steeply'sÊMomentÊarticle about a woman who carried her artificial heart in her purse. She was mugged... [Poor Tony was the purse snatcher.]Ê"
,47,144,(unspecified),Alphabetic list of anti-ONAN groups.
,48,144-151,(unspecified),Why Videophony didn't work
14,49,151-156,YDAU,"10/15: Urine tests at ETA, Pemulis sells clean samples"
15,50,157-168,1960,"James Incandenza's father narrates, addressing 10 yr old Jim. Discusses Marlon Brando, tennis, and his own father's reaction when he blew out his knee at a match.Ê"
,51,169-171,YDAU,11/4: Pemulis scores some DMZ (Madame Psychosis).Ê
,52,172-176,YEAR OF THEÊ,"Hal's narration ofÊTennis and the Feral Prodigy, a film by Mario Incandenza"
,,,SHITSU 2007Ê,
,,,MIMETIC-Ê,
,,,RESOLUTION-Ê,
,,,CARTRIDGE- VIEW-Ê,
,,,MOTHERBOARD-Ê,
,,,EASY-TO-INSTALLÊ,
,,,UPGRADE FORÊ,
,,,INFERNATRON/Ê,
,,,INTERLACE TPÊ,
,,,SYSTEMS FORÊ,
,,,"HOME, OFFICEÊ",
,,,OR MOBILEÊ(sic),
,53,176-181,YDAU,11/5: Selected transcripts from Patricia Montesian's Log at Ennet House. Voices of recovering drug and alcohol abusers.
16,54,181-193,YDAU,"Late Oct: at WYYY, Sixty Minutes More or Less with Madame Psychosis, is about to go on. The late shift engineer goes to the roof to drink a Millennial Fizzy and listen top the show. Mario, with Hal at HmH, listens to the show."
,55,Ê193-198,YDAU,Description of Unit #'s 1-7 of Ennet House
,56,198-200,YDAU,11/6: Freer and Kornspan work out while Rader consults with Lyle. Pemulis eavesdrops.
,57,200-210Ê,YDAU,More detailed introduction to Ennet House and its residents. Tiny Ewell's obsession with tattoos.
,58,211-219,YDAU,"Michael Pemulis explains that he has scored some DMZ, the ""Yale U. of the Ivy League of Acid"" from some Canadian insurgents. The boys decide to plan on taking it the weekend before the WhataBurger Invitational, 11/20-21Ê"
17,59,219-223Ê,YDAU,"11/7: Joelle Van Dyne, star of Jim Incandenza's movies, goes to Molly Notkin's MA thesis party.Ê"
,60,223,YG,Chronology of Subsidized Time
,61,223-226,YDAUÊ,"Joelle thinks about Orin and his father, the ""world's best hailer of Boston cabs."""
,62,227,YDAU,Helen P. Steeply's (Putative) Curriculum Vitae
,63,227-240,YDAU,Joelle attempts to overdose in the bathroom at a party of cinema graduate students
18,64,240-242,YDAUÊ,"Geographical description of Enfield, MA"
,65,242-258,YDAU,"11/5: Hal and Orin on the telephone. Now Orin wants to discuss Himself's suicide. (He put his head in a microwave.) Meanwhile, Hal is clipping his toenails and making miraculous shots into the wastepaper basket."
19,66Ê,258-270,YDAU,"11/6: Tennis meet at Port Washington Tennis Academy, Long Island, NY. Descriptions of Hal and John (""No Relation"") Wayne playing their respective games. Pemulis gets sick Schacht plays a French-Canadian."
,67,270-281,YDAU,"Gately (substance-free for 421 days) is now staff Ennet House. Geoffrey Day, Charlotte Treat, Randy Lenz all appear."
,68Ê,281-283,YDAU,ETA returns from Long Island Triumphant
20,69,283-299,(unspecified),"The story of Orin and Joelle, the Prettiest Girl of All Time (PGOAT). His switch from tennis to football in college."
,70Ê,299-306,YDAU,11/14: Poor Tony goes through withdrawal in the bathroom stall of a Boston public library.
21Ê,71,306-312,YDAU,"11/6: description of ETA's Saturday academic classes. Ex.: Mary Esther Thode's ""The Personal is the Political is the pathological."" Ex. of an exam on psychopathological double-binds. Troelsch's broadcast of the morning's games on WETA (ETA's intercom). Hal is in Theirry Poutrincourt's class on Canadian political history. Some details of anti-ONAN activity (large mirrors across highways)Ê"
,72,312-317Ê,(unspecified),"Mario's surprise birth, and a description of some of his deformaties."
,73,317-321Ê,YDAU,4/30-5/1: Maranthe and Steeply continued.
22,74,321-342Ê,YDAU,11/8: Interdependence Day. A game of Eschaton.
,75,343-367,YDAUÊ,"11/8: Boston AA meeting. Description of several speakers, (a ""fifty year old immigrant"" waxes eloquently about his first solid bowel movement in years) and the ""crocodiles."" Gately is curious about new girl Joelle."
,76,367Ê,(unspecified),The Statue of Liberty's product is changed every Jan 1.
,77,367-375Ê,YDAU,Boston AA meeting. A young girl describes her foster father sexually abusing her paraplegic stepsister...Ê
,78,375,YDAU,4/30-5/1: Maranthe and Steeply continued.
,79,375-376,(unspecified),James Incandenza's Found Drama came out of a late-night session with LyleÊ
,80,376-379,YDAU,11/8: Boston AA meeting. Story of baby's death.Ê
,81,379,(unspecified)Ê,James Incandenza and Lyle in the weight room.
23,82,380-386,YDAU,11/8: Mario Incandenza's film interpretation of the formation of ONAN
,83,386-394Ê,YDAU,"11/8: Lyle in the weightroom with sweaty ETA student Marlon and others (Anton ""Booger"" Douchette...) Return to Mario's film, which is now covering major political events with a montage of newspaper headlines. History of Johnny Genlte's CUSP and the Gre at Concavity.Ê"
,84,394-395,YDAU,"11/8: Lyle tells Ortho ""The Darkness"" Stice, ""Do not underestimate objects."" Stice's bed has been moving at night."
,85,395-398,YDAU,11/8: Hal watching Mario's film. Description of Himself'sÊThe Medusa vs. the OdalisqueÊandÊTHE JOKE.
,86,398-410,YDAU,"11/8: Continuation of Mario's film, with more headlines and a puppet show of Gentle and Rodney Tine, Chief, US Office of Unspecified Services. The story of legendary tennis player Eric Clipperton and his Glock 17 semiautomatic."
,87,410-418,YDAU,"11/8: Hal watching Mario's film. History of Interlace, proliferation of advertising, and garbage in space."
,88,418-430,YDAU,4/30-5/1: Maranthe and Steeply continued.
,89,430-434,(unspecified),Eric Clipperton's death.
,90,434-436,YDAU,"Gately's other job, cleaning bathrooms."
,91,436-442,YDAU,Mario's film continued. More headlines and puppet's. The origin of subsidized time.
24,92,442-449,YDAU,Gately's relationship with the crocodiles. He remembers the death of his mother.
,93,449-450,YDAU,Very late Oct: Hal's bad dream.Ê
,94,450-461,YDAU,11/9: Morning drills at ETA.Ê
,95,461-469,YDAU,"Don Gately's responsibilities at Ennet House. His boss, Pat Montesian."
,96,470-475,YDAU,Pre-dawn 5/1: Maranthe and Steeply continued. Discussion of BS gov't experiments on human subjects...
,97,475-489,YDAU,"ÊGately out in Pat M.'s car . Interesting shift, via a piece of garbage, to Lucien and Bertraud Anitoi's store. Arrival of and interrogation by the dreaded ATF"
25,98,490-491Ê,YDAU,ÊPre-dawn 5/1: Maranthe and Steeply continued.
,99,491-503Ê,1963,Jim Incandenza helps his father fix a mattress...
,100Ê,503-507Ê,YDAU,"At a NA meeting, Ken Erdedy gets a hug."
,101Ê,507-508Ê,YDAU,Maranthe and Steeply continued.
,102Ê,508-527Ê,YDAU,"Hal anticipate an official scolding from Charles Tavis for the Eschaton game. He waits in ""Lateral"" Alice Moore's office, overhears Avril counseling the pre-teen female ETAs.Ê"
,103Ê,528-530,YDAU,Pre-dawn and 5/1: Maranthe and Steeply continued.
,104Ê,531-538,YDAU,11/11: Discussion between Gately and Joelle. The latter explains her membership in UHID
26,105Ê,538-547,YDAU,Randy Lenz discovers his penchant for killing animals.Ê
,106Ê,548,YDAU,No door at Ennet House...Ê
,107Ê,548-549,YDAU,Early Nov: Rodney Tine and his special metric ruler.
,108Ê,550-553,YDAU,Pemulis interrupts John Wayne and Avril Incandenza in a game of sexual football.Ê
,109Ê,553-559,YDAU,Randy Lenz and Bruce Green walking Boston at night.
,110Ê,560,YDAU,Hal in bed after lunch. John Wayne stops by.
,111Ê,560-562,YDAU,Randy Lenz and Bruce Green walking Boston at night.
,112Ê,563-565,YDAUÊ,11/11: Selected snippets of Gately's interactions with Ennet House residents.
,113,565-567,YDAU,Orin and a Swiss hand model in a motel room.
,114Ê,567-574,YDAU,"Idris Arslanian, in a blindfold, runs into first Ted Schacht, then Mike Pemulis.Ê"
,115Ê,574-575,YDAU,ÊOrin at motel door with a man in a wheelchair.
,116,575-589,YDAU,"Bruce Green and Randy Lenz. Green remembers the death of his mother (coiled toy snake in a can). Lenz separates, kills a dog tied up in yard of a house having a Hawaiian party.Ê"
,117Ê,589-593,YDAU,"Mario, who can't sleep, walks outside.Ê"
,118,593-596Ê,YDAU,More of Gately's responsibilities at Ennet House.Ê
,119Ê,596-601,YDAU,"Still at the motel door, Orin answers the man in the wheelchair's ""survey.""Ê"
,120,601-619,YDAU,Gately's showdown with the Canadians. Gately seriously wounded.Ê
27,121,620-626,YDAU,"""The new millennium's passion for standing live witness to things."" Grad student engineer for WYYY is kidnapped by a man in a wheelchair."
,122,627-638,YDAU,11/11: Suppertime at ETA. Troelsch's conspiracy theory that the milk is powdered.
,123Ê,638-648,YDAU,"5/1: Maranthe and Steeply continued. Steeply's father's addiction to BS-era show ""M*A*S*H."""
,124Ê,648-651Ê,YDAU,"11/13: Kate Gompert, Geoffrey Day, and Bruce Green late-night rap session. Day describes the ""large, dark, billowing, black shape"" he's felt twice in his life."
,125,651-662,YDAU,"11/11: The match between Stice and Hal. Narrrative ""clicks"" to scan Gatley, Poor Tony, Pemulis and Struck, Steeply's sedan, CT, and even Orin in AZ. Steeply chats with Aubrey deLint as they watch the match.Ê"
,126Ê,663-665,YDAU,"Epistolary exchange between Steeply and Marlon Bain, friend of Orin's during adolescence.Ê"
,127Ê,666-673Ê,YDAU,"11/11: sub-14 males in ETA's tunnels on clean-up detail. There are rumors of feral hamsters, but instead they find a refrigerator full of rotting food."
,128Ê,673-682,YDAU,"11/11: Steeply speaks, in French, to female prorector Thierry Poutrincourt."
,129Ê,682-686,YDAU,"11/11: Matty Pemulis, male prostitute, eats in a diner. Memories of sexual abuse from his father."
,130Ê,686-689,YDAU,"11/11: after supper, Hal decides to watch some of Himself's films. Description ofÊWave Bye-Bye to the Bureaucrat."
,131Ê,689-691,YDAU,11/14: Poor Tony contemplates a purse snatching before he heads to the Antitois.'
,132Ê,692,YDAU,"Geoffrey Day: almost misses Lenz ""brandishing the Hog"" in the 3-man room."
,133,692-698,YDAU,On Kate Gompert's depression and depression in general. Himself'sThe American Century as Seen Through a BrickÊdescribed.
,134Ê,698-700Ê,YDAU,"11/14: Kate Gompert and Ruth van Cleve on the street, followed by Poor Tony Krause."
,135,700,YDAU,Troelsch puts in a pro-wrestling cartridge.Ê
,136,700,YDAUÊ,Pemulis adjusts a ceiling tile in Subdorm B.
,137,700,YDAU,Lyle sitting.
,138,701,YDAU,Coach Schtitt with Mario in his BMW
,139,701,YDAU,Avril calling Arizona.
,140,701-711,YDAUÊ,"Hal watchesÊBlood Sister: One Tough Nun. The plot of this film in detail. Hal thinks about another of his father's films,ÊLow-Temperature Civics. Switch to Joelle at a Cocaine Anon meeting, listening to a speaker describe his lowest moment (walking out on his wife and child.)"
,141,711-714,YDAU,The end ofÊBlood Sister: One Tough Nun.
,142,714-716,YDAU,Kate Gompert right after Poor Tony snatched her purse.
,143,716-719,YDAU,"Lenz, high on coke, plans to rob the ""Oriental women."""
,144,719,YDAU,The plan ofÊLes Assassins des Fauteuil Rollents
,145,719-721,YDAU,Poor Tony running from Ruth van Cleve.
,146,721-723,YDAU,"AFR's USA cell's leader, Fortier: how the AFR found the Entertainment at the Antitois'.Ê"
,147,723,YDAU,Fortier enjoys the USA's condescension toward the wheelchaired.Ê
,148,723-724,YDAU,Joelle worries about her teeth.
,149,724-728,YDAU,The Wheelchair Assassins discover theÊsamizdatÊEntertainment.
,150,728-729,YDAU,Lenz in a back alley after robbing the Asian women.
,151,729-735,YDAU,Maranthe at Ennet House.
,152,736-747,YDAU,Joelle cleaning her room. How Joelle and Himself became close. Descriptions ofÊPrenuptual Agreement of Heaven and HellÊandÊThe Medusa v. The Odalisque. Thanksgiving dinner at the Incandenza house.Ê
,153,747-751,YDAU,Maranthe's entry interview (with Pat M.) at Ennet House.
,154,751-752,YDAU,Joelle cleaning
,155,752-755,YDAU,Maranthe's entry interview (with Pat M.) at Ennet House continued.
