chapter	position
<ch><01> 	38
<ch><02> 	39884
<ch><03> 	70178
<ch><04> 	81275
<ch><05> 	83716
<ch><06> 	96113
<ch><07> 	103169
<ch><08> 	108365
<ch><09> 	127580
<ch><10> 	145152
<ch><11> 	160861
<ch><12> 	169228
<ch><13> 	175538
<ch><14> 	183300
<ch><15> 	232137
<ch><16> 	239802
<ch><17> 	260582
<ch><18> 	298612
<ch><19> 	331882
<ch><20> 	347361
<ch><21> 	350925
<ch><23> 	433068
<ch><24> 	473336
<ch><25> 	505005
<ch><26> 	556655
<ch><27> 	617939
<ch><28> 	686345
<ch><29> 	727295
<ch><30> 	854474
<ch><31> 	874309
<ch><32> 	907811
<ch><33> 	919334
<ch><34> 	983804
<ch><35> 	1083503
<ch><36> 	1097404
<ch><37> 	1206474
<ch><38> 	1275471
<ch><39> 	1296241
<ch><40> 	1298852
<ch><41> 	1358403
<ch><42> 	1415584
<ch><43> 	1420765
<ch><44> 	1528554
<ch><45> 	1536217
<ch><46> 	1584221
<ch><47> 	1589946
<ch><48> 	1600202
<ch><49> 	1792466
<ch><50> 	1813920
<ch><51> 	1849047
<ch><52> 	1874085
<ch><53> 	1883784
<ch><54> 	1963317
<ch><55> 	1973320
<ch><56> 	1984585
<ch><57> 	2011048
<ch><58> 	2063566
<ch><59> 	2073568
<ch><60> 	2085793
<ch><61> 	2179249
<ch><62> 	2258660
<ch><63> 	2439882
<ch><64> 	2458544
<ch><65> 	2788789
<ch><66> 	2841464
